userId;movieId;rating;tstamp
279039;1059;35;2016-01-23 21:50:47.000
279039;1079;3;2016-01-22 18:13:25.000
279039;1080;35;2016-01-25 15:09:13.000
279039;1088;3;2016-01-24 14:43:21.000
279039;1089;25;2016-01-22 18:09:21.000
279039;1092;4;2016-02-16 19:27:10.000
279039;1093;4;2016-01-30 04:01:26.000
279039;1095;4;2016-06-28 18:55:58.000
279039;1097;3;2016-01-22 18:14:40.000
279039;1101;35;2016-02-16 19:16:47.000
279039;1120;4;2016-01-22 18:19:03.000
279039;1127;4;2016-01-23 21:50:01.000
279039;1129;3;2016-01-24 16:33:07.000
279039;1136;3;2016-01-22 18:29:08.000
279039;1148;4;2016-01-22 18:29:25.000
279039;1175;35;2016-01-22 18:11:41.000
279039;1183;4;2016-01-27 17:39:06.000
279039;1186;35;2016-01-24 15:33:43.000
279039;1193;4;2016-01-22 18:09:39.000
279039;1196;35;2016-01-22 18:29:05.000
279039;1198;25;2016-01-22 18:07:01.000
279039;1199;4;2016-01-22 18:10:54.000
279039;1200;45;2016-01-27 15:06:19.000
279039;1201;3;2016-01-22 18:29:36.000
279039;1206;35;2016-01-22 18:11:15.000
279039;1210;35;2016-01-22 18:32:14.000
279039;1213;4;2016-01-22 19:58:57.000
279039;1214;45;2016-01-22 18:30:58.000
279039;1222;4;2016-02-17 13:46:53.000
279039;1227;4;2016-01-22 19:49:56.000
279039;1232;45;2016-01-22 20:02:24.000
279039;1233;4;2016-01-22 18:30:02.000
279039;1240;35;2016-01-22 19:38:41.000
279039;1243;45;2016-01-22 19:54:14.000
279039;1245;4;2016-01-22 19:37:36.000
279039;1249;3;2016-01-22 19:58:02.000
279039;1265;4;2016-01-24 14:35:21.000
279039;1270;4;2016-01-22 20:02:32.000
279039;1274;2;2016-01-22 20:03:03.000
279039;1275;3;2016-01-23 21:54:41.000
279039;1289;4;2016-01-25 15:16:00.000
279039;1291;3;2016-01-22 18:31:59.000
279039;1298;35;2016-01-22 18:15:40.000
279039;1313;4;2016-02-02 01:40:48.000
279039;1320;35;2016-01-23 21:11:36.000
279039;1347;25;2016-01-23 22:00:53.000
279039;1350;45;2016-01-23 21:14:31.000
279039;1356;35;2016-01-23 21:57:05.000
279039;1370;35;2018-03-31 05:02:44.000
279039;1377;25;2016-02-17 13:44:30.000
279039;1391;35;2016-02-17 13:44:20.000
279039;1409;4;2016-01-24 17:49:52.000
279039;1464;4;2016-01-22 19:31:57.000
279039;1466;4;2016-01-27 15:08:08.000
279039;1483;35;2016-01-24 17:39:04.000
279039;1485;3;2016-01-23 22:13:49.000
279039;1517;35;2016-01-24 17:41:16.000
279039;1527;5;2016-01-27 15:06:27.000
279039;1544;15;2016-01-22 19:47:36.000
279039;1552;2;2016-01-24 14:37:36.000
279039;1573;3;2016-02-11 00:39:46.000
279039;1580;4;2016-01-23 21:56:12.000
279039;1587;25;2016-01-23 21:18:15.000
279039;1591;25;2016-01-23 22:32:35.000
279039;1608;3;2016-01-22 19:54:50.000
279039;1610;4;2016-01-22 20:01:16.000
279039;1619;35;2016-01-23 21:07:48.000
279039;1625;4;2016-01-23 21:58:34.000
279039;1644;3;2016-01-23 21:16:40.000
279039;1645;4;2016-01-24 17:56:58.000
279039;1653;5;2016-01-22 18:14:32.000
279039;1673;4;2016-01-24 17:44:22.000
279039;1676;35;2016-01-22 18:24:19.000
279039;1681;15;2016-02-09 21:31:04.000
279039;1682;4;2016-01-22 18:13:49.000
279039;1690;45;2016-01-27 14:59:35.000
279039;1704;5;2017-09-14 10:21:49.000
279039;1713;3;2016-03-13 19:23:38.000
279039;1721;45;2017-07-31 02:39:59.000
279039;1722;25;2016-01-24 14:53:32.000
279039;1729;4;2019-09-09 05:54:46.000
279039;1732;4;2016-01-22 19:37:46.000
279039;1748;5;2016-02-02 01:28:08.000
279039;1752;4;2019-07-31 06:10:49.000
279039;1801;3;2016-01-23 21:31:31.000
279039;1836;35;2016-01-22 19:34:46.000
279039;1876;3;2016-01-23 22:49:53.000
279039;1882;2;2016-01-23 22:34:07.000
279039;1884;5;2016-01-22 18:15:14.000
279039;1907;35;2016-01-24 16:35:28.000
279039;1909;25;2016-01-24 17:56:45.000
279039;1917;35;2016-01-23 22:37:23.000
279039;1921;35;2016-01-23 22:07:09.000
279039;1924;3;2016-01-23 22:19:23.000
279039;1954;3;2016-02-10 14:42:19.000
279039;1961;4;2017-09-21 11:16:31.000
279039;1967;35;2016-01-24 17:50:50.000
279039;2010;25;2016-01-22 18:11:33.000
279039;2011;35;2016-01-23 22:15:19.000
279039;2012;35;2016-01-23 22:15:20.000
